method,subset,n,MAE,RMSE,MAPE_%,MaxAPE_%,bias,R2
CORR DAK,all_1079,1079,0.020700989948350443,0.036584964314968264,1.6521340355114016,73.62588036456849,0.0024522707842769484,0.9891298385655728
CORR HY,all_1079,1079,0.020844798127186117,0.03672208309061398,1.6446841966039567,73.15864132993562,0.0008183733909881938,0.9890482041332895
CORR DPR,all_1079,1079,0.021971087763992384,0.03791967134320364,1.744149333691799,73.82623279998937,0.002366590736243695,0.9883222317692815
CORR BB,all_1079,1079,0.05021504432545845,0.08568403569182013,3.498734379650398,74.24364377978007,0.026368587789508183,0.9403747038298298
CORR SH,all_1079,1079,0.030708031348004906,0.04753835834145731,2.443015938319249,71.72009908395859,0.016295815659534026,0.9816464921284631
CORR PP,all_1079,1079,0.6549720162570336,1.078695394164051,40.134957591108666,232.22429033260798,0.6533583039542001,-8.449925205228645
CORR KAREEM,all_1079,1079,0.03405155302465533,0.05536441164834227,2.3721462723744042,72.58288262435951,-0.013985085311955943,0.9751061481543246
ML chart_xgb,all_1079,1079,0.11149468600120226,0.1930022098781738,6.833318758208443,73.32588688711101,-0.09316717494653483,0.6974791682173662
ML chart_lgbm,all_1079,1079,0.11359249702093029,0.19715805260602567,6.921063644587323,73.30203409621244,-0.09316371875599054,0.6843107727357913
ML chart_mlp,all_1079,1079,0.03123266415963614,0.05033479681316538,2.2387841134934967,72.52694961131012,-0.010660825425655263,0.9794236962664544
ML comp_xgb,all_1079,1079,0.031554579972557936,0.04640962408727683,2.5630448960325394,81.12175920036402,-0.0006074449010995707,0.9825077037569525
ML comp_lgbm,all_1079,1079,0.03220313296737873,0.0470611496579775,2.635733352854017,84.27080098122826,-0.00010464951897812441,0.9820131220769112
ML comp_mlp,all_1079,1079,0.030258939150738653,0.04534273496825781,2.451458078800439,83.67711077915149,-0.0004405847639060867,0.9833027039745518
CORR DAK,Ppr<=15,672,0.017190670360907385,0.029782932889997397,1.6800419138689748,73.62588036456849,0.010089800369181593,0.9725013096054673
CORR HY,Ppr<=15,672,0.01671852390211039,0.0293758359698552,1.6346244280501243,73.15864132993562,0.010145100784748198,0.9732479199961047
CORR DPR,Ppr<=15,672,0.018145236666608396,0.030895611268887988,1.7678187607527351,73.82623279998937,0.01142435343611974,0.9704082485985253
CORR BB,Ppr<=15,672,0.021993729407159532,0.03539853990563282,2.071094387478793,73.27912534050152,0.006581441428751041,0.9611538678371434
CORR SH,Ppr<=15,672,0.02634889383277254,0.04185008339458631,2.494704576574297,71.72009908395859,0.018198380364912385,0.9457037618502362
CORR PP,Ppr<=15,672,0.16565746802632586,0.26276695459250876,13.752474961483228,76.59903266321082,0.16306640318293725,-1.1405165053788213
CORR KAREEM,Ppr<=15,672,0.01699597940447704,0.029811948442486125,1.6506510083060948,72.58288262435951,0.011150009543428535,0.9724477031750204
ML chart_xgb,Ppr<=15,672,0.02006695591722216,0.03178399457883911,1.9805681682219731,73.32588688711101,0.00733994454650652,0.9686819984330064
ML chart_lgbm,Ppr<=15,672,0.0187729655424296,0.03140674183551072,1.8432589099546974,73.30203409621244,0.012273375180973913,0.9694210298629976
ML chart_mlp,Ppr<=15,672,0.01752391605175326,0.030123727020717243,1.708918229232518,72.52694961131012,0.011050652915030799,0.9718683961941885
ML comp_xgb,Ppr<=15,672,0.025024733098915647,0.03549244302617717,2.613292417950647,81.12175920036402,0.019879748173497976,0.9609474971033498
ML comp_lgbm,Ppr<=15,672,0.025843826650565956,0.03644729737032905,2.719344014689792,84.27080098122826,0.021039095029912597,0.9588179704499756
ML comp_mlp,Ppr<=15,672,0.02379566057588373,0.03447271899613376,2.4889680823929567,83.67711077915149,0.01897032666924454,0.9631592753554346
CORR DAK,Ppr>15,407,0.026496898456364538,0.045648975970697864,1.6060551798448433,58.030869696844576,-0.010158097473845709,0.9375104238856586
CORR HY,Ppr>15,407,0.027657712818220246,0.046370696327099496,1.6612939373120041,56.996171285642994,-0.01458103891517083,0.9355188558982501
CORR DPR,Ppr>15,407,0.028287972131171842,0.0472861959325279,1.7050686089130545,57.80521319511798,-0.01258873244389562,0.9329476112317028
CORR BB,Ppr>15,407,0.09681141686869402,0.13188948618679266,5.855918838469362,74.24364377978007,0.05903925696500892,0.4783660464058107
CORR SH,Ppr>15,407,0.03790542793335171,0.05567249460356185,2.3576725355983834,61.667554220265096,0.013154480322889671,0.9070548220484095
CORR PP,Ppr>15,407,1.4628820320089637,1.723595208666386,83.69522375107992,232.22429033260798,1.4628820320089637,-88.08735313401169
CORR KAREEM,Ppr>15,407,0.06221210701178016,0.08160142811815359,3.5634111801235546,50.49024364844642,-0.05548578246875783,0.8003170341699608
ML chart_xgb,Ppr>15,407,0.2624515278106239,0.31158516022316396,14.845722680741384,33.23165816832769,-0.2591150479178464,-1.9113809133951958
ML chart_lgbm,Ppr>15,407,0.27014956128027295,0.3184702399879373,15.305055737150283,33.10321157640871,-0.2672515003914699,-2.0414677083573665
ML chart_mlp,Ppr>15,407,0.05386725563014548,0.0722394761533148,3.113648669324892,51.03221798870585,-0.04650877000781996,0.8435070866780436
ML comp_xgb,Ppr>15,407,0.04233604704648329,0.06025091130259395,2.4800809286394974,56.27727161163105,-0.03443396516186013,0.891138894665754
ML comp_lgbm,Ppr>15,407,0.04270301956418018,0.06064819228504994,2.4976833166042858,55.9039299962493,-0.0350152056291859,0.889698550238925
ML comp_mlp,Ppr>15,407,0.04093049493035169,0.059063144600458695,2.38952509989584,55.634379955889315,-0.03249005032429238,0.895388692342828
