base,form,base_MAPE,in_sample_MAPE,LOSO_MAPE,gain_pp
DAK,poly_deg1,1.9188,1.5023,1.8464,0.0724
DAK,poly_deg2,1.9188,1.3761,2.4179,-0.4991
DAK,poly_deg3,1.9188,1.3291,28.5257,-26.6069
DAK,poly_deg4,1.9188,1.2303,15.062,-13.1432
DAK,poly_deg5,1.9188,1.1658,3580.6871,-3578.7682
DAK,poly_deg6,1.9188,1.1281,31916.4232,-31914.5044
DAK,rbf_k4_w0.7,1.9188,1.3487,1.774,0.1448
DAK,rbf_k4_w1.0,1.9188,1.3381,1.7493,0.1695
DAK,rbf_k4_w1.5,1.9188,1.3513,1.8273,0.0915
DAK,rbf_k9_w0.7,1.9188,1.3512,2.4431,-0.5242
DAK,rbf_k9_w1.0,1.9188,1.3202,2.4333,-0.5144
DAK,rbf_k9_w1.5,1.9188,1.2842,2.4845,-0.5657
DAK,rbf_k16_w0.7,1.9188,1.2899,1.8729,0.0459
DAK,rbf_k16_w1.0,1.9188,1.2671,1.8405,0.0784
DAK,rbf_k16_w1.5,1.9188,1.2476,2.0777,-0.1589
DAK,rbf_k25_w0.7,1.9188,1.2585,2.5058,-0.5869
DAK,rbf_k25_w1.0,1.9188,1.1992,2.3462,-0.4274
DAK,rbf_k25_w1.5,1.9188,1.1107,1.9873,-0.0685
DAK,spline_df4,1.9188,1.2841,2.0163,-0.0975
DAK,spline_df5,1.9188,1.3036,2.1042,-0.1854
DAK,spline_df7,1.9188,1.2358,1.9646,-0.0458
DAK,spline_df9,1.9188,1.238,1.9839,-0.0651
DAK,rational_1_1,1.9188,1.4171,2.2584,-0.3396
DAK,rational_2_1,1.9188,1.4071,4.9777,-3.0588
DAK,phys_exp_decay,1.9188,1.6456,2.1357,-0.2169
DAK,phys_power_law,1.9188,1.5781,2.2957,-0.3769
DAK,phys_gaussian_bump,1.9188,1.6075,1.8397,0.0791
DAK,fourier_o1,1.9188,1.4302,2.0795,-0.1607
DAK,fourier_o2,1.9188,1.3416,2.1914,-0.2725
DAK,fourier_o3,1.9188,1.2831,2.3502,-0.4313
DAK,symbolic_gp,1.9188,1.9332,1.94,-0.0212
HY,poly_deg1,1.9284,1.5843,1.8959,0.0325
HY,poly_deg2,1.9284,1.3615,2.6581,-0.7297
HY,poly_deg3,1.9284,1.3339,34.3889,-32.4605
HY,poly_deg4,1.9284,1.2507,154.7129,-152.7845
HY,poly_deg5,1.9284,1.1747,6830.0169,-6828.0885
HY,poly_deg6,1.9284,1.1311,40786.6911,-40784.7628
HY,rbf_k4_w0.7,1.9284,1.3675,1.6861,0.2423
HY,rbf_k4_w1.0,1.9284,1.3523,1.6399,0.2885
HY,rbf_k4_w1.5,1.9284,1.3527,1.736,0.1924
HY,rbf_k9_w0.7,1.9284,1.3587,2.3122,-0.3838
HY,rbf_k9_w1.0,1.9284,1.3533,2.361,-0.4326
HY,rbf_k9_w1.5,1.9284,1.3317,2.5116,-0.5832
HY,rbf_k16_w0.7,1.9284,1.2738,1.7754,0.153
HY,rbf_k16_w1.0,1.9284,1.2588,1.7598,0.1686
HY,rbf_k16_w1.5,1.9284,1.2652,1.9896,-0.0612
HY,rbf_k25_w0.7,1.9284,1.2381,2.4016,-0.4732
HY,rbf_k25_w1.0,1.9284,1.1904,2.1909,-0.2625
HY,rbf_k25_w1.5,1.9284,1.1269,1.8097,0.1186
HY,spline_df4,1.9284,1.3375,1.9982,-0.0698
HY,spline_df5,1.9284,1.3541,2.0752,-0.1468
HY,spline_df7,1.9284,1.2895,1.9372,-0.0088
HY,spline_df9,1.9284,1.2889,1.9465,-0.0181
HY,rational_1_1,1.9284,1.4474,1.9135,0.0149
HY,rational_2_1,1.9284,1.4393,2.6442,-0.7158
HY,phys_exp_decay,1.9284,1.6329,2.1749,-0.2466
HY,phys_power_law,1.9284,1.5839,2.2235,-0.2952
HY,phys_gaussian_bump,1.9284,1.622,1.8648,0.0636
